ID,Label,ChatGpt is funny,ChatGpt is pun,Text
0,1,1,0,they served lunch at the auto repair shop but i didn t eat it it was full of carbs
2,1,0,0,molecules boiling points vary to some degree
3,1,0,0,let me share with you a couple of keys to playing piano
5,0,1,0,I m thinking of something like an animal hospital she said
7,1,0,0,don t expect a bonsai tree to grow the miniature planting it
15,0,1,1,He has too many lice to feel an itch
16,1,0,0,there was a report of shots fired in a local bar the police don t know what triggered the commotion
23,0,1,1,I m also not a psychopath or a robot or blind or anything else I play
29,0,1,1,For my son who s right handed I tell him you write with your right and you have one hand left
31,0,1,1,Unless you enter the tiger s den you cannot take the cubs
38,0,1,0,Counsel is as welcome to him as a shoulder of mutton to a sick horse
45,1,0,0,during his lifetime the composer bach was a noted success
49,0,1,1,Doctors will probably tell you not to quit cold turkey but I had no problems
68,1,1,0,my friend came around for dinner we ate for 20 minutes then he fainted again
69,0,1,0,I have given you coffee for 25 years at five cents a cup
72,0,1,0,It s very rare to have someone with five good organs
75,0,1,1,Fashion week in Paris is always a race against time
76,1,1,0,old calendars are outdated
81,1,1,0,if gophers become extinct the hole ecosystem will die
84,0,1,1,Plenty know good ale but don t know much after that
86,1,1,0,amenities the greek goddess of luxury
89,1,0,0,in middle east outdoor markets you can find bazaar items for sale
98,1,0,0,yesterday s high was 78 and the low was 45 but neither were records
